question, answer
what were some of the indefensible incidents that washington and jefferson were involved in?,washington and jefferson owned slaves,and jefferson used ethnic cleansing to facilitate territorial expansion.
what was napoleon's lust for power compared to?,his lust for power is often described as being ruled by a gigantic ego.
how was napoleon's ambition seen as a sin?,napoleon's ambition was seen as a sin because it pursued goals that were disapproved of,or that it pursued those goals using methods that were disapproved of.
what made napoleon's ambition different from other european monarchs?,napoleon's ambition was different from other european monarchs because he did not inherit his position,but achieved it by aggressively pursuing the same agenda as those born to power and doing so more effectively.
what were the three main areas that napoleon had a significant impact on?,the three main areas that napoleon had a significant impact on were individualism,secularism,and nationalism.
how did napoleon enshrine individualism?,napoleon enshrined individualism with a new aristocracy based on merit.
how did napoleon's marshals come from?,napoleon's marshals came from all walks of life,including a barrel maker,a cabin boy,a former sergeant,and a minor noble.
what did washington and jefferson do?,they owned slaves,and jefferson used ethnic cleansing to facilitate territorial expansion.
why are some of these incidents now considered indefensible?,because we now have a different perspective on morality and ethics than people did in the past.
was bonaparte corrupt?,some people believe he was,but he certainly had some notable company.
how is napoleon often described?,as being ruled by a gigantic ego.
what are some of the benchmarks of napoleon's rampant ambition?,his lust for power,the coup d'etat brumaire,his dismissal of democracy,and the establishment of empire.
why are comparisons with contemporary leaders often regarded as irrelevant or futile?,presumably because bonaparte is assumed to have been greater than they,and presented with unique opportunities that he squandered on a quest for personal aggrandizement.
why might napoleon have needed an ego as large as his ambitions?,because achieving democracy in france and peace for europe is not a task for a modest man.
was napoleon's ambition simply a sin because it pursued goals we disapprove of?,it could also be considered a sin because it pursued those goals using methods we disapprove of.
as the leader of a totalitarian state,how did napoleon's ambitions align with those of france?,he made his own ambitions synonymous with those of france.
how did napoleon's actions differ from those of other european monarchs?,napoleon did not inherit his position,but achieved it by aggressively pursuing the same agenda as those born to power and doing so more effectively.
why are absolutists often forgiven for their sins?,because they were born into their position.
why are parvenus often criticized?,because they have freely chosen their sins.
was napoleon pure,modest,democratic,or a peacemaker?,no,he was anything but.
who else in europe could claim to be pure,modest,democratic,or a peacemaker?,no one.
should napoleon be assailed for sins that were so sadly common?,some people believe he should,while others believe he should not.
what makes napoleon the object of such unique criticism?,it is possible that he holds a special place in our imaginations,a place that we hope would be an example of our better selves.
what three main areas did napoleon have a significant impact on?,individualism,secularism,and nationalism.
how did napoleon promote individualism?,he enshrined it with a new aristocracy based on merit,where those who performed and contributed were rewarded.
how did napoleon's marshals come from all walks of life?,they included a barrel maker,a cabin boy,a former sergeant,and a minor noble.
who owned slaves in america?,washington and jefferson
what did jefferson do to facilitate territorial expansion?,used ethnic cleansing
why are some of these incidents now considered indefensible?,they go against current moral standards
who is often described as being ruled by a gigantic ego?,napoleon bonaparte
what are some of the benchmarks of napoleon's rampant ambition?,lust for power,coup d'etat brumaire,dismissal of democracy,and establishment of empire
why are comparisons with contemporary leaders regarded as irrelevant or futile?,napoleon is assumed to have been greater than them and had unique opportunities
what is the main argument for napoleon's ego being necessary?,achieving democracy in france and peace for europe requires a large ego
what is the main argument against napoleon's ambition being a sin?,it pursued goals and used methods that are now disapproved of
how did napoleon make his own ambitions synonymous with those of france?,as the leader of a totalitarian state,he had few abridgements to power and acted as he saw fit
what did most european states reflect?,the egos of their monarchs
what did most european states not do?,foster democracy,limit their borders,or improve civil rights
what is the main reason napoleon is regarded as megalomaniacal?,he did not inherit his position and achieved it by aggressively pursuing the same agenda as those born to power
what is the main difference between absolutists and parvenus in terms of their sins?,absolutists are forgiven for their sins because they were born to them,while parvenus are guilty for choosing them
what ideals did napoleon spread throughout europe?,individualism,secularism,and nationalism
how did napoleon enshrine individualism?,he created a new aristocracy based on merit,rewarding those who performed and contributed
what was the basis for advancement in the new aristocracy?,merit,rather than family status or noble class
what did napoleon do to spread the ideals of the french revolution throughout europe?, he indirectly spread the ideals of the french revolution throughout europe through his empire and government.
what were the three main areas that napoleon had a significant impact on?, individualism,secularism,and nationalism.
what was the concept of individualism prior to the french revolution?, class and social status were more important than the individual.
what was the idea of merit and ability subordinated to before the revolution?, family status and noble class.
how did the revolution treat individuals in the eyes of the government?, all individuals were considered equal.
how did napoleon enshrine the idea of individualism?, he created a new aristocracy based on merit,rewarding those who performed and contributed.
how did napoleon's marshals represent the new aristocracy?, they came from diverse backgrounds,including a barrel maker,cabin boy,former sergeant,and minor noble.
who owned slaves in america?,washington and jefferson
what did jefferson use to facilitate territorial expansion?,ethnic cleansing
was bonaparte corrupt?,yes,he had notable company
what is napoleon often described as being ruled by?,a gigantic ego
what are seen as benchmarks of rampant ambition?,his lust for power,the coup d'etat brumaire,his dismissal of democracy and the establishment of empire
why are comparisons with contemporary leaders regarded as irrelevant or futile?,because bonaparte is assumed to have been greater than they,and presented with unique opportunities,all squandered on a quest for personal aggrandizement
what did napoleon need to accomplish deeds other men could only dream of?,an ego as large as his ambitions
was napoleon's ambition simply a sin because it pursued goals we disapprove of,or that it pursued those goals using methods we disapprove of?,both
as the leader of a totalitarian state,what did napoleon make his own ambitions synonymous with?,those of france
what seems to be the main reason why bonaparte is regarded as megalomaniacal?,because he did not inherit his position,but achieved it by aggressively pursuing the same agenda as those born to power and doing so more effectively
what were the three main areas that napoleon had a significant impact on?,individualism,secularism,and nationalism
prior to the french revolution,what was more important in french society and government than the individual?,class or social status
what did the revolution do away with?,the class system and stated that all individuals were equal in the eyes of the government
how did napoleon enshrine individualism?,with a new aristocracy based on merit
what were the new princes,dukes,and barons rewarded for?,their performance and contributions
where did napoleon's marshals come from?,all walks of life,including a barrel maker,a cabin boy,a former sergeant,and a minor noble
what sins did washington,jefferson,and bonaparte commit?,washington and jefferson owned slaves,and jefferson used ethnic cleansing to facilitate territorial expansion.
bonaparte was corrupt and had a lust for power.
what are the reasons for napoleon's unique criticism?,he did not inherit his position but achieved it by aggressively pursuing the same agenda as those born to power,and he was not pure,modest,democratic,or a peacemaker.
what areas did napoleon have a significant impact on?,individualism,secularism,and nationalism.
what was the state of individualism in france before the french revolution?,class or social status was more important than the individual,and merit and ability were subordinated to family status and nobility.
how did napoleon enshrine individualism?,he created a new aristocracy based on merit,where those who performed and contributed were rewarded with titles.
'what were some of the ideals of the french revolution that napoleon spread throughout europe?,answer: individualism,secularism,and nationalism.
how did napoleon promote individualism?,answer: he created a new aristocracy based on merit,rewarding those who performed and contributed with titles such as princes,dukes,and barons.
what was the role of social status in french society before the french revolution?,answer: class or social status was more important than the individual,with merit and ability subordinated to family status and noble class.
how did napoleon's government embody the ideals of the french revolution?,answer: it enshrined individualism,secularism,and nationalism.
how did napoleon promote secularism?,answer: he separated church and state,allowing for freedom of religion and ending the privileges of the catholic church'.
who owned slaves in america?,washington and jefferson
what did jefferson use to facilitate territorial expansion?,ethnic cleansing
what are some of the incidents that were natural in their day but are now found indefensible?,owning slaves,ethnic cleansing
who is often described as being ruled by a gigantic ego?,napoleon bonaparte
what are some of the benchmarks of rampant ambition that napoleon is associated with?,lust for power,coup d'etat brumaire,dismissal of democracy,establishment of empire
why are comparisons with contemporary leaders regarded as irrelevant or futile?,because napoleon is assumed to have been greater than they and presented with unique opportunities
what was napoleon's ambition a sin for?,pursuing goals we disapprove of and using methods we disapprove of
how did napoleon make his own ambitions synonymous with those of france?,as the leader of a totalitarian state
why is napoleon regarded as megalomaniacal?,because he achieved his position by aggressively pursuing the same agenda as those born to power
what is the difference between absolutists and parvenus in terms of their sins?,absolutists may be forgiven their sins for being born to them,while parvenus are guilty for having freely chosen them
what were some of the ideals of the french revolution that napoleon spread throughout europe?,individualism,secularism,and nationalism
how did napoleon enshrine individualism?,with a new aristocracy based on merit
what was the basis for advancement in napoleon's new aristocracy?,merit rather than ancestry
where did napoleon's marshals come from?,all walks of life,including a barrel maker,a cabin boy,a former sergeant,and a minor noble
what were napoleon's feelings about the relationship between the church and the government?, napoleon was willing to heal the rift between the catholic church and the government,but only if the church did not meddle in state affairs.
what did napoleon do to the church?, napoleon took away the church's right to run schools and to have special taxes and privileges.
what did napoleon do to show his true feelings about his relationship with the church?, during his coronation,napoleon took the crown out of the pope's hands and crowned himself.
what was the difference between the state before and after the revolution?, before the revolution,the state was symbolized by the monarch and the loyalty of the people was to the ruler,not to the state.
after the revolution,the government became the sovereign of the people,and the people owed their loyalties to the government.
how did napoleon build his empire?, napoleon built his empire based on the concepts of jacobin nationalism,which emphasized national interests and loyalty to the government over dynastic interests.
why did napoleon fail to conquer russia in 1812?, napoleon failed to conquer russia in 1812 due to faulty logistics,poor discipline,disease,and the harsh weather.
what was napoleon's method of warfare?, napoleon's method of warfare was based on rapid concentration of his forces at a key place to destroy his enemy.
how did napoleon supply his army?, napoleon insisted that his troops live as much as possible off the land to avoid being slowed down by the supply trains.
who created the legion of honor?,napoleon
what was the relationship between the french revolution and the church?,the revolution placed the state above the church and even banned organized religion.
what did napoleon do to heal the rift between the catholic church and the government?,he re-opened the churches and was tolerant of all religions.
what were the terms of the agreement between napoleon and the church?,the church lost its right to run schools,and to have special taxes and privileges.
who did napoleon invite to crown him the new emperor of france?,pope pius vii
what did napoleon's actions at his coronation demonstrate?,that he believed that the state was not subordinate to the church.
what symbolized the state before the revolution?,the monarch
what did the revolution make the sovereign of the people?,the government
what did napoleon's soldiers do throughout europe?,ousted the old dynasties
what did napoleon's soldiers help give rise to?,german and italian nationalism
what were the reasons for napoleon's failed conquest of russia in 1812?,faulty logistics,poor discipline,disease,and the weather.
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy.
how did napoleon's army advance?,along several avenues,converging only when necessary.
what was the slowest part of an army at the time?,the supply trains.
how did napoleon avoid being slowed down by the supply trains?,he insisted that his troops live as much as possible off the land.
where did napoleon's method of warfare work?,central europe against the prussians and the austrians
what did his method of warfare require?,a good road network and an agricultural base capable of supporting the foraging soldiers.
who created the legion of honor?,napoleon
what did the french revolution do to the church?,banned organized religion
what did napoleon do to heal the rift between the catholic church and the government?,re-opened the churches and was tolerant of all religions
what did napoleon do at his coronation to demonstrate his feelings about the church?,took the crown out of the pope's hands and crowned himself
what did the revolution make the sovereign of the people?,the government
what were national interests supposed to transcend?,dynastic and all other interests
what did napoleon fail to conquer in 1812?,russia
what were the reasons napoleon failed to conquer russia?,faulty logistics,poor discipline,disease,and the weather
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy
how did napoleon advance his army?,along several avenues and converging them only when necessary
what was the slowest part of any army at the time?,the supply trains
how did napoleon avoid being slowed down by the trains?,he insisted that his troops live as much as possible off the land
what proved that napoleon's method of warfare worked?,his success time after time in central europe against the prussians and the austrians
what must the terrain be like for napoleon's method of warfare to work?,there must be a good road network for his army to advance along several axes and an agricultural base capable of supporting the foraging soldiers
who created the legion of honor?,napoleon
what was the state placed above during the french revolution?,the church
what did napoleon do to heal the rift between the catholic church and the government?,he re-opened the churches and was tolerant of all religions.
what did napoleon demonstrate by his actions at the coronation?,that he believed that since he embodied the state,the pope had no legitimate right to crown him.
what symbolized the state prior to the revolution?,the monarch
who was the sovereign of the people after the revolution?,the government
what did napoleon build his empire based on?,the concepts of jacobin nationalism.
who did napoleon's soldiers oust throughout europe?,the old dynasties
what did napoleon fail to conquer in 1812?,russia
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy.
what was the slowest part of any army at the time?,the supply trains.
how did napoleon avoid being slowed down by the trains?,he insisted that his troops live as much as possible off the land.
where did napoleon's method of warfare work?,central europe against the prussians and the austrians.
what must the terrain be like for napoleon's method of warfare to work?,there must be a good road network for his army to advance along several axes and an agricultural base capable of supporting the foraging soldiers.
what did napoleon create to recognize those who deeds merited it?,legion of honor
what did the french revolution place above the church?,state
what did the revolution do to organized religion?,banned it
what did napoleon want to do with the rift between the catholic church and the government?,heal it
what did the church lose the right to do?,run schools and have special taxes and privileges
what did napoleon do to show his true feelings on his relationship with the church?,took the crown out of the pope's hands and crowned himself
what did the state symbolize prior to the revolution?,monarch
what did the revolution make the sovereign of the people?,government
what did napoleon build his empire based on?,jacobin nationalism
what did napoleon's soldiers do throughout europe?,ousted the old dynasties
what did napoleon fail to conquer in 1812?,russia
what were some reasons napoleon failed to conquer russia?,faulty logistics,poor discipline,disease,and the weather
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy
what was the slowest part of any army at the time?,supply trains
what did napoleon insist that his troops do to avoid being slowed down by the trains?,live as much as possible off the land
what did the success of napoleon time after time in central europe against the prussians and the austrians prove?,that his method of warfare worked
what did napoleon create to recognize those who deserved it?,he created the legion of honor.
what did the french revolution do to the church?,it placed the state above the church and even banned organized religion.
what was napoleon's condition for healing the rift between the catholic church and the government?,the church had to not meddle in state affairs.
what rights did the church lose?,it lost its right to run schools,and to have special taxes and privileges.
what did napoleon do to show his true feelings on his relationship with the church?,he took the crown out of the pope's hands and crowned himself.
what did the revolution make the sovereign of the people?,the government.
what did napoleon build his empire based on?,the concepts of jacobin nationalism.
what were some of the reasons napoleon failed to conquer russia in 1812?,faulty logistics,poor discipline,disease,and the weather.
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy.
what was the slowest part of any army at the time?,the supply trains.
how did napoleon avoid being slowed down by the trains?,he insisted that his troops live as much as possible off the land.
where did napoleon's method of warfare work?,in central europe against the prussians and the austrians.
what must the terrain be like for napoleon's method of warfare to work?,there must be a good road network and an agricultural base capable of supporting the foraging soldiers.
what did napoleon create to recognize deserving individuals?,legion of honor
what concept did the french revolution place above the church?,secularism
how did napoleon heal the rift between the catholic church and the government?,he reopened churches and tolerated all religions,but the church lost its right to run schools and have special taxes and privileges
what did napoleon demonstrate at his coronation?,he took the crown from the pope and crowned himself,signifying the state's dominance over the church
what did prior to the revolution symbolize the state?,the monarch
to whom did people owe their loyalties after the revolution?,the government
what did nationalism transcend?,dynastic and all other interests
what did napoleon build his empire based on?,jacobin nationalism
who did napoleon's soldiers oust throughout europe?,old dynasties
what did napoleon's method of warfare rely on?,rapid concentration of forces at a key place to destroy the enemy
what was the slowest part of any army at the time?,supply trains
how did napoleon avoid being slowed down by supply trains?,he insisted that his troops live as much as possible off the land
what did napoleon's success against the prussians and austrians prove?,that his method of warfare worked
what was necessary for napoleon's method of warfare to work?,a good road network and an agricultural base capable of supporting the foraging soldiers
'what did napoleon create to recognize those whose deeds merited it?,legion of honor
what concept did the french revolution place above the church?,secularism
what did the revolution do to organized religion?,banned it
what did napoleon do to heal the rift between the catholic church and the government?,re-opened the churches and was tolerant of all religions
what right did the church lose?,to run schools,and to have special taxes and privileges
what did napoleon do to demonstrate his true feelings on his relationship with the church?,crowned himself
what did the revolution make the sovereign of the people?,the government
what did citizens put in national armies and schools?,national interests
who built his empire based on these concepts?,napoleon
what did napoleon fail to conquer in 1812?,russia
what were the reasons for napoleon's failure to conquer russia?,faulty logistics,poor discipline,disease,and the weather
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy
what was the slowest part of any army at the time?,the supply trains
what did napoleon insist that his troops do to avoid being slowed down by the trains?,live as much as possible off the land'
who created the legion of honor?,napoleon bonaparte
what did the french revolution do to the catholic church?,it banned organized religion
what did napoleon do to heal the rift between the catholic church and the government?,he re-opened the churches and was tolerant of all religions
what did napoleon do at his coronation that showed his true feelings about his relationship with the church?,he took the crown out of the pope's hands and crowned himself
what symbolized the state before the revolution?,the monarch
what did the revolution make the sovereign of the people?,the government
what did napoleon build his empire based on?,jacobin nationalism
what did napoleon's soldiers do throughout europe?,ousted the old dynasties
what did napoleon fail to do in 1812?,conquer russia
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy
how did napoleon avoid being slowed down by the supply trains?,he insisted that his troops live as much as possible off the land
where did napoleon's method of warfare work?,central europe against the prussians and the austrians
what must the terrain be like for napoleon's method of warfare to work?,there must be a good road network for his army to advance along several axes and an agricultural base capable of supporting the foraging soldiers
what did napoleon create to recognize those who deserved it?,legion of honor
what did the french revolution do to the church?,it banned organized religion
what did napoleon do to heal the rift between the catholic church and the government?,he re-opened the churches and was tolerant of all religions
what did napoleon do at his coronation?,he took the crown out of the pope's hands and crowned himself
what did the revolution make the sovereign of the people?,the government
what did the revolution do to national interests?,made them transcend dynastic and all other interests
what did napoleon build his empire based on?,jacobin nationalism
what happened when napoleon failed to conquer russia in 1812?,faulty logistics,poor discipline,disease,and the weather
what was napoleon's method of warfare based on?,rapid concentration of his forces at a key place to destroy his enemy
what was the slowest part of any army at the time?,the supply trains
how could napoleon avoid being slowed down by the trains?,by insisting that his troops live as much as possible off the land
what was napoleon's plan when he invaded russia?,to force the russians to fight a major battle within twenty days.
how many days of food did napoleon's supply wagons carry?,30 days of food.
what was the main problem napoleon faced during his invasion of russia?,poor road network and agricultural base.
how did the russian policy of scorched earth affect napoleon's army?,soldiers had to forage further away from the roads for food,leading to straggling and weakness.
what was the main cause of death among napoleon's horses?,lack of fodder and grazing.
what were the common diseases among napoleon's troops?,typhus,diarrhea,and dysentery.
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000.
what was another major problem napoleon faced during his invasion of russia?,poor discipline among his troops.
how many men and horses did napoleon invade russia with?,600,000 men and over 50,000 horses
what was napoleon's plan?,to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle
what did napoleon's supply wagons carry?,30 days of food
what was the road network like in russia?,very poor
what was the agricultural base like in russia?,extremely poor
what was the problem with napoleon's plan to supplement his food supply by foraging?,the agricultural base was too poor to support the number of soldiers that would be living off the land
what did the russians do to make the problem worse?,they adopted a scorched earth policy of destroying everything possible as they retreated before the french
what happened to the horses?,they began to die from lack of food and grazing
what diseases were rampant among the troops?,typhus,diarrhea,and dysentery
how many soldiers were dead or hospitalized due to disease and exhaustion by the time napoleon reached moscow?,over 200,000
what was another major problem that napoleon faced?,poor discipline
what year did napoleon invade russia?,1812
what was his plan for bringing the war to a conclusion?,to force the russians to fight a major battle within twenty days
how many days of food did his supply wagons carry?,30 days
what was the problem with the roads in russia?,they were very poor
how did this affect napoleon's advance?,he was forced to advance along a very narrow front
what was the agricultural base like in russia?,extremely poor
how did this affect the soldiers?,they could not find enough food to supplement their supplies
what did the russians do to make the problem worse?,they adopted a scorched earth policy,destroying everything possible as they retreated
what happened to the soldiers as time went by?,they began to straggle,due to having to forage further away from the roads for food and weakness from lack of food
what happened to the horses?,they died,due to lack of fodder
what diseases were rampant among the troops?,typhus,diarrhea,and dysentery
what was the main cause of these diseases?,poor diets,bad water,and camping on sites that had been contaminated
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000
what was another major problem that napoleon faced?,poor discipline among his troops
when did napoleon invade russia?,1812
how many men did napoleon invade russia with?,600,000
how many horses did napoleon invade russia with?,50,000
what was napoleon's plan for defeating the russians?,to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle
how long did napoleon plan to have his supply wagons carry food?,30 days
what was the problem with napoleon's plan?,the russian road network was very poor,and the agricultural base was extremely poor
what did the russians do to make the problem worse?,they adopted a scorched earth policy of destroying everything possible as they retreated
what happened to the soldiers and horses as they went further into russia?,they began to straggle,due to having to forage further away from the roads for food and weakness from lack of food.
the horses also began to die from lack of fodder
what diseases were rampant among the troops?,typhus and intestinal ailments such as diarrhea and dysentery
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000
what was another major problem that napoleon faced?,poor discipline
what was napoleon's plan when he invaded russia in 1812?,his plan was to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle.
how many men and horses did napoleon have when he invaded russia?,he had about 600,000 men and over 50,000 horses.
what was the condition of the roads in russia?,the roads were very poor,which forced napoleon to advance along a very narrow front.
how did napoleon plan to supplement the food supply?,he planned to have his soldiers forage along the way.
why was this plan faulty?,the agricultural base was extremely poor and could not support the number of soldiers living off the land,and the russians adopted a scorched earth policy destroying everything possible as they retreated.
what were the consequences of the food shortages?,soldiers began to straggle,due to having to forage further away from the roads for food and weakness from lack of food,and the horses also suffered from lack of food and fodder.
what diseases were rampant among the troops?,typhus was rampant among the troops due to infestations of lice,and intestinal ailments such as diarrhea and dysentery were common due to poor food and water.
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000 soldiers were dead or hospitalized due to disease and exhaustion.
what was another major problem that napoleon faced?,poor discipline was another major problem,as troops had to forage to survive and the deeper they went into russia the further they had to go each day to find food.
when did napoleon invade russia?,in 1812
how many men did napoleon invade russia with?,about 600,000
how many horses did napoleon invade russia with?,over 50,000
what was napoleon's plan for defeating the russians?,to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle.
how long did napoleon plan to carry supplies for?,30 days
what problems did napoleon encounter in russia?,poor road network,poor agricultural base,scorched earth policy of the russians
how did the condition of the horses deteriorate?,grazing along the road or in a meadow was not adequate to maintain a healthy horse,the further the army went into russia,the less fodder was available.
what diseases were rampant among the troops?,typhus,diarrhea,dysentery
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000
what was another major problem that napoleon faced?,poor discipline
how many men and horses did napoleon invade russia with?,approximately 600,000 men and over 50,000 horses
what was napoleon's plan?,to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle
how much food did napoleon's supply wagons carry?,30 days of food
what was the problem with napoleon's plan?,the russian had a very poor road network,which forced him to advance along a very narrow front,and the agricultural base was extremely poor and could not support the numbers of soldiers that would be living off the land
what did the russians do to make the problem worse?,they adopted a scorched earth policy of destroying everything possible as they retreated before the french
what happened to the soldiers and horses as they went deeper into russia?,they began to straggle due to having to forage further away from the roads for food and weakness from lack of food,and the horses died by the end of the first month
what diseases were rampant among the troops?,typhus,diarrhea and dysentery
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000
what was another major problem that napoleon faced?,poor discipline,as the troops had to forage to survive and the deeper they went into russia the further they had to go each day to find food
why did napoleon invade russia?,he wanted to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle.
how many men and horses did napoleon invade russia with?,about 600,000 men and over 50,000 horses.
what was the condition of russia's road network?,it was very poor,which forced napoleon to advance along a very narrow front.
how did napoleon plan to supplement his food supply?,he had his supply wagons carry 30 days of food and allowed for a larger supply train than usual,with the intention of supplementing food by whatever the soldiers could forage along the way.
why was this plan faulty?,the agricultural base was extremely poor and could not support the numbers of soldiers that would be living off the land,and the russians adopted a scorched earth policy,destroying everything possible as they retreated.
what were the consequences of the poor food supply?,soldiers began to straggle,due to having to forage further away from the roads for food and weakness from lack of food.
what were the consequences of the poor food supply for the horses?,over 10,000 horses had died by the end of the first month.
what diseases were rampant among the troops?,typhus,diarrhea,and dysentery.
what was the cause of the diseases?,infestations of lice,poor food,bad water,and camping on sites where tens of thousands bivouacked before.
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000.
what was another major problem that napoleon faced?,poor discipline,as troops had to forage to survive.
who invaded russia in 1812?,napoleon
how many men did napoleon invade russia with?,600,000
how many horses did napoleon invade russia with?,50,000
what was napoleon's plan?,to bring the war to a conclusion within twenty days by forcing the russians to fight a major battle
how long did napoleon plan to carry food for?,30 days
what was the problem with napoleon's plan?,the roads were poor and the agricultural base was poor
what did the russians do to make things worse for napoleon?,they adopted a scorched earth policy
what happened to the soldiers as they went deeper into russia?,they began to straggle,due to having to forage further away from the roads for food and weakness from lack of food
what happened to the horses as they went deeper into russia?,they died,due to lack of fodder
what diseases were rampant among the troops?,typhus,diarrhea,and dysentery
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,200,000
what was another major problem that napoleon faced?,poor discipline
how many men did napoleon invade russia with?,600,000
how many horses did he have?,50,000
what was his plan?,to force the russians to fight a major battle and bring the war to a conclusion within twenty days
how long did he plan to supply his troops for?,30 days
what was the problem with the roads in russia?,they were very poor and narrow
how did this affect napoleon's advance?,he was forced to advance along a very narrow front
how did napoleon plan to supplement his supplies?,by foraging along the way
why was this a faulty plan?,because the agricultural base was extremely poor and could not support the numbers of soldiers that would be living off the land
what made the problem worse?,the russians adopted a scorched earth policy of destroying everything possible as they retreated before the french
what happened to the soldiers as a result?,they began to straggle,due to having to forage further away from the roads for food and weakness from lack of food
what happened to the horses?,they died in large numbers due to lack of fodder and grazing
what diseases were rampant among the troops?,typhus,diarrhea,and dysentery
how many soldiers were dead or hospitalized by the time napoleon reached moscow?,over 200,000
what was another major problem?,poor discipline
what was the main concern of the soldiers?,finding food
what happened to the soldiers who could no longer march?,they laid down and died
what was the impact of the mobs of soldiers on the units that were still intact?,they destroyed supplies and left little for those fighting in the rear guard
what happened at smolensk?,the soldiers rioted and destroyed a warehouse full of food
what happened at the crossing of the berezina?,thousands of soldiers panicked and died or were captured when the bridge broke
what was the weather like during the retreat?,first it was too hot,then too cold,then there was a warm spell,and finally it was extremely cold
what happened to the army as it crossed into poland?,it was reduced to less than 100,000 soldiers
what happened to the soldiers during the retreat?,they became a mob,with little cohesion and no effectiveness.
what was the major warehouse incident?,bureaucrats insisted that the soldiers must be with their units before they would be issued food.
what happened at the crossing of the berezina?,thousands of soldiers in mobs panicked when they were attacked by the russians.
what was the impact of weather on the army?,it made the march difficult and caused the death of many soldiers.
how many soldiers remained of the 600,000 who crossed the nieman five months before?,less than 100,000
what caused the commanders to lose control of their troops?, soldiers' only concern became finding food,and they disappeared.
what happened to the soldiers who disappeared?, they did not necessarily die,but they formed a disorderly group.
what happened to the units during the retreat?, the units ceased to exist except in name,especially during the late fall.
what happened to the warehouses that contained supplies?, mobs of soldiers broke into the warehouses and destroyed more food than they consumed.
what happened at smolensk?, soldiers rioted and destroyed a warehouse due to the refusal of food distribution.
what happened at the crossing of the berezina?, soldiers panicked and died or were captured when the bridge broke during an attack.
what were the weather conditions during the march to moscow?, initially hot and dry,and then extremely cold.
what happened to the weak soldiers?, they died from exhaustion and lack of food.
what happened to the strong soldiers?, they got weaker and died as their food supplies ran out.
what happened after the warm spell?, the roads became impassable due to mud and obstacles.
what happened when the weather got colder again?, thousands died from exhaustion and exposure.
how many soldiers remained by the time the army crossed into poland?, less than 100,000 of the original 600,000 soldiers.
what happened to the soldiers as they retreated?,they became uncontrollable and formed a mob,with little cohesion and no effectiveness.
what was the impact of the mobs on the intact units?,they would break into warehouses and destroy more than they ate,leaving little or nothing for those fighting in the rear guard.
what happened at smolensk?,bureaucrats insisted that soldiers must be with their units before they would be issued food,leading to a riot and the destruction of a major warehouse.
what happened at the crossing of the berezina?,thousands of soldiers panicked when they were attacked by the russians,causing the bridge to break and resulting in the death or capture of 10,000-20,000 soldiers.
how did the weather affect the retreat?,initially,it was too hot and dusty,then too cold,causing the weak and exhausted to die.
a warm spell slowed down the march and turned roads into quagmires of mud.
finally,the weather turned colder again,leading to thousands of deaths from exhaustion and exposure.
how many soldiers remained by the time the army crossed into poland?,less than 100,000 exhausted and tattered soldiers remained of the original 600,000.
what was the main concern of the soldiers during the retreat?,finding food
what happened to the units during the retreat?,units ceased to exist
what happened when soldiers in the mobs broke into warehouses?,they destroyed more than they ate and left little for the rear guard
what happened at the crossing of the berezina?,a bridge broke,causing thousands of soldiers to die or be captured
what were the weather conditions like during the march to moscow and the retreat?,too hot during the march,too cold during the retreat
what happened to the weak soldiers during the retreat?,they laid down and died
what happened when the weather thawed the frozen roads?,the roads became quagmires of mud
what happened when the weather turned cold again?,thousands died in their sleep
how many soldiers remained of the original 600,000 who crossed the nieman?,less than 100,000
why did soldiers disappear during the retreat?, soldiers disappeared during the retreat because they were concerned about finding food and could not control themselves.
what happened to the units during the retreat?, units ceased to exist except in name only,especially during the retreat in the late fall.
what was the impact of the mobs of soldiers on the intact units?, mobs of soldiers broke into warehouses,destroyed supplies,and left little or nothing for the fighting rear guard.
what happened in smolensk?, in smolensk,bureaucrats refused to issue food to soldiers who were not with their units,causing a riot that destroyed the warehouse and much of the food.
